state,month,width
KY,2,115.83333333333331
KY,3,171.60714285714286
KY,4,149.13793103448276
KY,5,112.5
KY,6,108.8
KY,7,89.11764705882354
KY,8,30.0
KY,9,81.25
KY,10,80.0
KY,11,110.625
KY,12,282.8888888888889
LA,1,157.32142857142858
LA,2,203.0434782608696
LA,3,411.1111111111111
LA,4,427.4920634920635
LA,5,187.28571428571428
LA,6,117.03571428571428
LA,7,20.0
LA,8,53.46153846153846
LA,9,50.0
LA,10,280.75
LA,11,234.7826086956522
LA,12,184.23809523809524
MD,1,0.0
MD,2,125.0
MD,3,0.0
MD,4,88.75
MD,5,125.0
MD,6,325.0
MD,7,100.0
MD,8,107.08333333333331
MD,9,100.0
MD,10,0.0
MD,11,175.0
MD,12,0.0
MI,1,100.0
MI,2,100.0
MI,3,230.0
MI,4,118.33333333333331
MI,5,150.0
MI,6,107.8125
MI,7,215.0
MI,8,128.33333333333334
MI,9,192.72727272727272
MI,10,97.5
MI,11,83.33333333333333
MI,12,100.0
MN,1,0.0
MN,2,0.0
MN,3,266.6666666666667
MN,4,0.0
MN,5,45.4390243902439
MN,6,137.8846153846154
MN,7,171.48275862068965
MN,8,89.02298850574712
MN,9,242.06521739130437
MN,10,67.22222222222223
MN,11,0.0
MN,12,86.5
MO,1,95.71428571428572
MO,2,93.33333333333331
MO,3,154.89361702127658
MO,4,124.3939393939394
MO,5,166.50602409638554
MO,6,70.96153846153847
MO,7,115.9375
MO,8,51.5
MO,9,46.25
MO,10,183.5
MO,11,45.0
MO,12,82.38095238095238
MS,1,297.8723404255319
MS,2,285.90909090909093
MS,3,178.0
MS,4,486.67721518987344
MS,5,297.1875
MS,6,85.625
MS,7,97.0
MS,8,119.83870967741936
MS,9,27.5
MS,10,115.0
MS,11,227.66666666666663
MS,12,302.35555555555555
MT,1,0.0
MT,2,0.0
MT,3,0.0
MT,4,0.0
MT,5,58.0
MT,6,99.6153846153846
MT,7,69.375
MT,8,3.0
MT,9,0.0
MT,10,0.0
MT,11,0.0
MT,12,0.0
NC,1,120.10526315789474
NC,2,120.10526315789474
NC,3,203.33333333333331
NC,4,141.4
NC,5,171.8181818181818
NC,6,72.3076923076923
NC,7,80.0
NC,8,94.21052631578948
NC,9,108.27272727272728
NC,10,262.05882352941177
NC,11,97.0
NC,12,45.0
ND,1,0.0
ND,2,0.0
ND,3,0.0
ND,4,0.0
ND,5,71.5
ND,6,137.72058823529412
ND,7,184.0217391304348
ND,8,205.83333333333331
ND,9,115.0
ND,10,17.5
ND,11,0.0
ND,12,0.0
NE,1,0.0
NE,2,0.0
NE,3,0.0
NE,4,69.28571428571429
NE,5,121.4516129032258
NE,6,61.6078431372549
NE,7,53.61111111111112
NE,8,98.92
NE,9,67.5
NE,10,20.0
NE,11,43.333333333333336
NE,12,121.61290322580643
NM,1,30.0
NM,2,30.0
